,None,FauxPy,Best-Loc (Gemma4),Self-LLM
Qwen2.5,0.55,0.45,0.6,0.475
Qwen3.6,0.65,0.575,0.6,0.65
Qwen3Coder,0.55,0.6,0.65,0.675
Gemma4,0.425,0.525,0.5,0.5
Granite4,0.675,0.625,0.675,0.625
CodeGemma,0.475,0.45,0.625,0.325
GraniteCode,0.375,0.375,0.675,0.275
CodeLlama,0.325,0.275,0.575,0.25
