,None,FauxPy,Best-Loc (Gemma4),Self-LLM
Qwen2.5,1.136,1.167,1.25,1.263
Qwen3.6,1.346,1.652,1.458,1.462
Qwen3Coder,1.864,1.875,1.077,1.296
Gemma4,1.235,1.095,1.2,1.2
Granite4,1.074,1.04,1.074,1.12
CodeGemma,1.0,1.0,1.2,1.154
GraniteCode,1.0,1.0,1.185,1.0
CodeLlama,1.846,2.0,1.87,2.0
