Model,Anchoring-biased?,Best-Loc rate,Self-LLM rate,Gap (Best-Loc - Self-LLM),p-value
Qwen2.5,yes,0.6,0.475,0.125,0.125
Qwen3.6,no,0.6,0.65,-0.05,0.5
Qwen3Coder,no,0.65,0.675,-0.025,1.0
Gemma4,no,0.5,0.5,0.0,1.0
Granite4,no,0.675,0.625,0.05,0.625
CodeGemma,yes,0.625,0.325,0.3,0.0005
GraniteCode,yes,0.675,0.275,0.4,0.0
CodeLlama,no,0.575,0.25,0.325,0.0002
