Model,n,fauxpy vs none,best_loc vs none,self_llm vs none
Qwen2.5,1348,"-36 (p=2.6e-03, **)","+75 (p=4.1e-11, ***)","-45 (p=1.7e-03, **)"
Qwen3.6,1348,"+55 (p=2.9e-07, ***)","+83 (p=8.3e-17, ***)","+70 (p=2.3e-11, ***)"
Qwen3Coder,1348,"-22 (p=1.8e-01, ns)","+322 (p=1.1e-53, ***)","+4 (p=8.7e-01, ns)"
Gemma4,1348,"+39 (p=3.5e-05, ***)","+10 (p=4.0e-01, ns)","-97 (p=3.7e-12, ***)"
Granite4,1348,"-49 (p=1.8e-07, ***)","+9 (p=3.6e-01, ns)","-2 (p=8.9e-01, ns)"
CodeGemma,1348,"-36 (p=1.4e-03, **)","+335 (p=8.5e-70, ***)","-32 (p=6.9e-02, ns)"
GraniteCode,1348,"-18 (p=1.2e-01, ns)","+515 (p=1.1e-128, ***)","+70 (p=3.6e-05, ***)"
CodeLlama,1348,"-101 (p=1.6e-06, ***)","+405 (p=3.2e-99, ***)","+106 (p=4.0e-09, ***)"
