Model,None rate,FauxPy rate,Gap (FauxPy - None),p-value
Qwen2.5,0.888,0.8613,-0.0267,0.0026
Qwen3.6,0.888,0.9288,0.0408,0.0
Qwen3Coder,0.5185,0.5022,-0.0163,0.1751
Gemma4,0.9199,0.9488,0.0289,0.0
Granite4,0.9392,0.9028,-0.0364,0.0
CodeGemma,0.526,0.4993,-0.0267,0.0014
GraniteCode,0.408,0.3947,-0.0134,0.1203
CodeLlama,0.5408,0.4659,-0.0749,0.0
