,None,FauxPy,Best-Loc (Gemma4),Self-LLM
Qwen2.5,0.888,0.861,0.944,0.855
Qwen3.6,0.888,0.929,0.95,0.94
Qwen3Coder,0.519,0.502,0.757,0.522
Gemma4,0.92,0.949,0.927,0.848
Granite4,0.939,0.903,0.946,0.938
CodeGemma,0.526,0.499,0.774,0.502
GraniteCode,0.408,0.395,0.79,0.46
CodeLlama,0.541,0.466,0.841,0.619
