Method,Top-1,Top-3,Top-6,MRR,Minimal Set Precision,Minimal Set Recall,Minimal Set F1
FauxPy (SBFL),0.54,0.732,0.823,0.651,0.494,0.481,0.485
Qwen2.5,0.424,0.677,0.815,0.585,0.399,0.399,0.399
Qwen3.6,0.655,0.782,0.892,0.746,0.535,0.535,0.535
Qwen3Coder,0.557,0.785,0.887,0.693,0.471,0.471,0.471
Gemma4,0.626,0.794,0.902,0.733,0.531,0.53,0.531
Granite4,0.512,0.718,0.836,0.644,0.452,0.452,0.452
CodeGemma,0.349,0.666,0.816,0.543,0.373,0.373,0.373
GraniteCode,0.258,0.553,0.756,0.463,0.307,0.307,0.307
CodeLlama,0.279,0.669,0.815,0.489,0.354,0.319,0.331
