Method,Precision,Recall,F1
FauxPy,0.494,0.481,0.485
Qwen2.5,0.482,0.343,0.35
Qwen3.6,0.617,0.494,0.461
Qwen3Coder,0.497,0.561,0.448
Gemma4,0.604,0.518,0.47
Granite4,0.499,0.455,0.401
CodeGemma,0.39,0.326,0.309
GraniteCode,0.44,0.281,0.294
CodeLlama,0.401,0.56,0.401
