Method,Top-1,Top-3,Top-6,MRR,Minimal Set Precision,Minimal Set Recall,Minimal Set F1
FauxPy (SBFL),0.275,0.55,0.65,0.448,0.262,0.262,0.262
Qwen2.5,0.194,0.548,0.677,0.405,0.177,0.177,0.177
Qwen3.6,0.677,0.871,0.935,0.778,0.661,0.661,0.661
Qwen3Coder,0.419,0.71,0.935,0.606,0.403,0.403,0.403
Gemma4,0.742,0.903,0.935,0.833,0.726,0.726,0.726
Granite4,0.452,0.677,0.839,0.61,0.435,0.435,0.435
CodeGemma,0.0,0.097,0.226,0.122,0.0,0.0,0.0
GraniteCode,0.032,0.226,0.484,0.234,0.032,0.032,0.032
CodeLlama,0.0,0.29,0.516,0.19,0.016,0.016,0.016
