Method,syntax error,logic error,reference error,multiple error
FauxPy,0.007,0.063,0.049,0.005
Qwen2.5,0.501,0.417,0.469,0.522
Qwen3.6,0.674,0.72,0.696,0.751
Qwen3Coder,0.506,0.477,0.517,0.659
Gemma4,0.656,0.7,0.66,0.707
Granite4,0.579,0.504,0.565,0.609
CodeGemma,0.298,0.241,0.266,0.357
GraniteCode,0.381,0.273,0.36,0.416
CodeLlama,0.274,0.271,0.331,0.358
